cifar10 , 32-Bit , Baseline,,0.0079742866,0.0032583486
cifar10 , 32-Bit , Reduce Center Distance ,0.025,0.810603934,0.004704302
cifar10 , 32-Bit , Increase Center Similarity ,0.0001,0.8103809054,0.002739527
cifar10 , 32-Bit , Increase Center Similarity ,0.0005,0.803515431,0.0027495827
cifar10 , 32-Bit , Increase Center Similarity ,0.00075,0.8023523215,0.0023517178
cifar10 , 32-Bit , Increase Center Similarity ,0.001,0.813752292,0.0021270661
cifar10 , 32-Bit , Increase Center Similarity ,0.0025,0.8181638331,0.0034969467
cifar10 , 32-Bit , Increase Center Similarity ,0.00375,0.8043756472,0.0037683126
cifar10 , 32-Bit , Increase Center Similarity ,0.005,0.8152473855,0.0034619927
cifar10 , 32-Bit , Increase Center Similarity ,0.0075,0.8114632144,0.0038754505
cifar10 , 32-Bit , Increase Center Similarity ,0.01,0.8114632144,0.0038754505
cifar10 , 32-Bit , Increase Center Similarity ,0.05,0.8092231706,0.005919484
cifar10 , 32-Bit , Increase Center Similarity ,0.1,0.8104897637,0.0023597612
cifar10 , 64-Bit , Baseline,,0.804603058,0.002316439
cifar10 , 64-Bit , Reduce Center Distance ,0.025,0.820970702,0.002638776
cifar10 , 64-Bit , Increase Center Similarity ,0.00025,0.8123085822,0.0043964874
cifar10 , 64-Bit , Increase Center Similarity ,0.0005,0.8146861678,0.0028205622
cifar10 , 64-Bit , Increase Center Similarity ,0.00075,0.8201498379,0.0016842852
cifar10 , 64-Bit , Increase Center Similarity ,0.001,0.8146861678,0.0028205622
cifar10 , 64-Bit , Increase Center Similarity ,0.0025,0.8201498379,0.0016842852
coco , 64-Bit , Baseline,,0.7174504327,0.0076852929
coco , 64-Bit , Reduce Center Distance ,0.025,0.7290885835,0.0052122574
coco , 64-Bit , Increase Center Similarity ,0.00075,0.7184525359,0.0042898445
coco , 64-Bit , Increase Center Similarity ,0.001,0.7165073715,0.0073918966
coco , 64-Bit , Increase Center Similarity ,0.001,0.7201582152,0.0069215311
coco , 64-Bit , Increase Center Similarity ,0.0025,0.7151561172,0.0057979504
coco , 64-Bit , Increase Center Similarity ,0.005,0.715887559,0.0041883312
coco , 64-Bit , Increase Center Similarity ,0.0075,0.717894796,0.0051987454
coco , 64-Bit , Increase Center Similarity ,0.025,0.7119527028,0.0048108668
coco , 64-Bit , Increase Center Similarity ,0.05,0.7183870126,0.0062076298
coco , 64-Bit , Increase Center Similarity ,0.075,0.7172424885,0.0052748338
coco , 64-Bit , Increase Center Similarity ,0.075,0.7128903216,0.0066813808
coco , 64-Bit , Increase Center Similarity ,0.1,0.7148529718,0.0053566119
coco , 64-Bit , Increase Center Similarity ,0.75,0.7062133273,0.0065168205
coco , 64-Bit , Increase Center Similarity ,0.5,0.705962525,0.0042386965
coco , 64-Bit , Increase Center Similarity ,0.0001,0.7166737668,0.0054138572
coco , 64-Bit , Increase Center Similarity ,0.00025,0.7187607071,0.005424326
coco , 64-Bit , Increase Center Similarity ,0.001,0.7201582152,0.0069215311
coco , 64-Bit , Increase Center Similarity ,0.0025,0.7151561172,0.0057979504
coco , 64-Bit , Increase Center Similarity ,0.1,0.7148529718,0.0053566119
coco , 64-Bit , Increase Center Similarity ,0.075,0.7148529718,0.0053566119
coco , 64-Bit , Increase Center Similarity ,0.05,0.7183870126,0.0062076298
coco , 64-Bit , Increase Center Similarity ,0.025,0.7119527028,0.0048108668
coco , 64-Bit , Increase Center Similarity ,0.01,0.7165073715,0.0073918966
